iter	RMSE
0	19.8316147
1	19.17168202
2	18.4748773
3	17.93238768
4	17.43024963
5	16.86318843
6	16.36902417
7	15.90212253
8	15.44581251
9	14.93733886
10	14.46909183
11	14.03111673
12	13.71470361
13	13.29842847
14	12.97233672
15	12.62937478
16	12.35040565
17	12.01685297
18	11.67768036
19	11.44967581
20	11.17601682
21	10.89517922
22	10.67948857
23	10.43288644
24	10.27599135
25	10.16534605
26	9.993580374
27	9.863097483
28	9.68378242
29	9.482256828
30	9.267821877
31	9.073770208
32	8.926789563
33	8.764114025
34	8.645373142
35	8.475615586
36	8.320290873
37	8.220160552
38	8.055886605
39	7.916463012
40	7.812017026
41	7.657714651
42	7.542420006
43	7.368724371
44	7.283663713
45	7.181063921
46	7.113310067
47	6.99607702
48	6.882069399
49	6.789897224
50	6.696378696
51	6.625916122
52	6.547661079
53	6.489672822
54	6.421952056
55	6.300068858
56	6.196459503
57	6.13319236
58	6.081771654
59	6.049065654
60	5.985529561
61	5.935755453
62	5.880632108
63	5.849493082
64	5.801950663
65	5.744774299
66	5.701394176
67	5.641600758
68	5.589616772
69	5.535620396
70	5.470832113
71	5.437114317
72	5.399567949
73	5.37103664
74	5.340863342
75	5.309785508
76	5.275854789
77	5.252119959
78	5.2173295
79	5.122838335
80	5.091783191
81	5.066859391
82	4.958700288
83	4.939127411
84	4.922207131
85	4.810859491
86	4.687334358
87	4.655667392
88	4.640495765
89	4.616315431
90	4.595025406
91	4.497124548
92	4.397495208
93	4.313165034
94	4.232036739
95	4.211888516
96	4.195361856
97	4.177108326
98	4.090616381
99	4.01067817
100	3.932336851
101	3.911589092
102	3.840097197
103	3.766548105
104	3.69289607
105	3.678000589
106	3.663988155
107	3.603847168
108	3.586597837
109	3.509565542
110	3.49593919
111	3.428254464
112	3.381704486
113	3.332904466
114	3.287433229
115	3.215921462
116	3.150228239
117	3.140486306
118	3.094200184
119	3.086063189
120	3.075730525
121	3.067911795
122	3.059868936
123	3.05234887
124	2.998689831
125	2.952705935
126	2.945070545
127	2.901243958
128	2.89410557
129	2.865470111
130	2.802678096
131	2.749928469
132	2.705921112
133	2.649466289
134	2.64332673
135	2.600821505
136	2.564748958
137	2.534053977
138	2.497745319
139	2.488807765
140	2.45617773
141	2.438383236
142	2.392994976
143	2.361383261
144	2.353415937
145	2.343673906
146	2.335656905
147	2.328190016
148	2.289798073
149	2.280985115
150	2.275166301
151	2.248821046
152	2.214102193
153	2.205867641
154	2.16748227
155	2.161541137
156	2.156129064
157	2.150676695
158	2.118862722
159	2.087764499
160	2.08309919
161	2.075208109
162	2.05453095
163	2.038508114
164	2.033986959
165	2.030044454
166	1.997330706
167	1.993754696
168	1.98922268
169	1.964493489
170	1.961004452
171	1.936701487
172	1.89849675
173	1.895089816
174	1.864370433
175	1.835946949
176	1.827225036
177	1.814232352
178	1.811155032
179	1.785055905
180	1.767880584
181	1.762524615
182	1.757806992
183	1.749204259
184	1.725502359
185	1.696889053
186	1.678826327
187	1.669758822
188	1.66604914
189	1.644330381
