iter	Passed	Remaining
0	0	161
1	2	200
2	3	200
3	3	182
4	4	184
5	6	184
6	7	193
7	8	193
8	9	192
9	10	191
10	11	191
11	12	190
12	13	189
13	15	188
14	16	188
15	17	185
16	18	186
17	19	185
18	20	184
19	21	184
20	23	186
21	24	185
22	25	184
23	26	183
24	27	182
25	28	178
26	29	178
27	30	177
28	31	176
29	32	175
30	33	174
31	35	173
32	36	172
33	37	172
34	38	171
35	39	170
36	41	169
37	42	168
38	43	167
39	44	166
40	45	166
41	46	165
42	48	164
43	49	163
44	50	161
45	51	160
46	52	159
47	53	159
48	55	158
49	56	157
50	57	156
51	58	155
52	59	153
53	60	153
54	62	152
55	63	151
56	64	150
57	64	147
58	66	146
59	67	145
60	68	144
61	70	144
62	71	143
63	72	141
64	73	141
65	74	140
66	75	139
67	77	138
68	78	137
69	79	135
70	80	134
71	81	133
72	82	132
73	83	131
74	85	130
75	86	129
76	87	128
77	88	127
78	89	126
79	91	125
80	92	124
81	93	122
82	94	121
83	95	120
84	96	119
85	97	118
86	99	117
87	100	116
88	102	115
89	103	115
90	104	114
91	105	112
92	107	111
93	108	110
94	109	109
95	110	108
96	111	107
97	112	105
98	113	104
99	114	103
100	116	102
101	117	101
102	119	100
103	120	99
104	121	98
105	122	97
106	123	95
107	124	94
108	125	93
109	127	92
110	128	91
111	129	90
112	130	88
113	133	88
114	134	87
115	135	86
116	136	85
117	137	84
118	138	82
119	139	81
120	141	80
121	142	79
122	143	78
123	144	76
124	145	75
125	146	74
126	148	73
127	150	72
128	151	71
129	152	70
130	153	69
131	154	68
132	155	66
133	157	65
134	158	64
135	159	63
136	160	62
137	161	60
138	163	60
139	164	58
140	165	57
141	167	56
142	168	55
143	169	54
144	170	52
145	171	51
146	172	50
147	174	49
148	175	48
149	176	47
150	177	45
151	179	44
152	180	43
153	181	42
154	182	41
155	183	40
156	185	38
157	186	37
158	187	36
159	188	35
160	189	34
161	191	33
162	192	31
163	194	30
164	195	29
165	196	28
166	198	27
167	199	26
168	200	24
169	201	23
170	203	22
171	205	21
172	206	20
173	208	19
174	209	17
175	211	16
176	212	15
177	213	14
178	215	13
179	216	12
180	218	10
181	219	9
182	220	8
183	221	7
184	222	6
185	224	4
186	226	3
187	227	2
188	228	1
189	230	0
