,金属1,占比1,金属1电负性,金属2,占比2,金属2电负性,非金属1,占比3,负载1,占比4,C2H6,C3H8,O2,保护气体,GHSV,温度,丙烷转化率,丙烯选择性
0,Pt,1.1,2.28,,,,BN,98.9,,,,80.0,4.2,15.8,4760.0,600,17.4,33.1
1,Pt,1.1,2.28,,,,BN,98.9,,,,80.0,4.2,15.8,4760.0,600,19.0,34.0
2,Pt,1.1,2.28,Sn,0.25,1.96,BN,98.65,,,,80.0,4.2,15.8,4760.0,600,42.9,73.9
3,Pt,1.1,2.28,Sn,0.25,1.96,BN,98.65,,,,80.0,4.2,15.8,4760.0,600,18.0,37.3
4,Pt,1.1,2.28,Sn,0.5,1.96,BN,98.4,,,,80.0,4.2,15.8,4760.0,600,47.4,79.2
5,Pt,1.1,2.28,Sn,0.5,1.96,BN,98.4,,,,80.0,4.2,15.8,4760.0,600,19.6,53.0
6,Pt,1.1,2.28,Sn,0.75,1.96,BN,98.15,,,,80.0,4.2,15.8,4760.0,600,48.9,78.2
7,Pt,1.1,2.28,Sn,0.75,1.96,BN,98.15,,,,80.0,4.2,15.8,4760.0,600,28.3,64.7
8,Pt,1.1,2.28,,,,,,Al2O3,98.9,,80.0,4.2,15.8,4760.0,600,35.0,43.6
9,Pt,1.1,2.28,,,,,,Al2O3,98.9,,80.0,4.2,15.8,4760.0,600,14.2,40.0
10,Pt,1.1,2.28,Sn,0.25,1.96,,,Al2O3,98.65,,80.0,4.2,15.8,4760.0,600,29.4,71.2
11,Pt,1.1,2.28,Sn,0.25,1.96,,,Al2O3,98.65,,80.0,4.2,15.8,4760.0,600,13.3,38.5
12,Pt,1.1,2.28,Sn,0.5,1.96,,,Al2O3,98.4,,80.0,4.2,15.8,4760.0,600,40.3,75.8
13,Pt,1.1,2.28,Sn,0.5,1.96,,,Al2O3,98.4,,80.0,4.2,15.8,4760.0,600,12.1,39.4
14,Pt,1.1,2.28,Sn,0.75,1.96,,,Al2O3,98.15,,80.0,4.2,15.8,4760.0,600,15.2,45.6
15,Pt,1.1,2.28,Sn,0.75,1.96,,,Al2O3,98.15,,80.0,4.2,15.8,4760.0,600,14.7,37.5
16,,,,,,,BN,100.0,,,,30.0,15.0,55.0,8000.0,490,14.0,79.0
17,,,,,,,BN,100.0,,,,30.0,15.0,55.0,8000.0,490,10.0,81.0
18,,,,,,,BN,100.0,,,,30.0,15.0,55.0,60000.0,490,16.5,72.0
19,,,,,,,BON,100.0,,,,40.0,20.0,40.0,12000.0,500,45.0,61.0
20,,,,,,,BON,100.0,,,,40.0,20.0,40.0,12000.0,525,64.4,40.0
21,,,,,,,BON,100.0,,,,40.0,20.0,40.0,12000.0,500,7.0,91.0
22,,,,,,,BON,100.0,,,,40.0,20.0,40.0,12000.0,500,14.0,90.0
23,,,,,,,BON,100.0,,,,40.0,20.0,40.0,12000.0,500,21.0,83.0
24,,,,,,,BON,100.0,,,,40.0,20.0,40.0,12000.0,500,32.0,72.0
25,,,,,,,BON,100.0,,,,40.0,20.0,40.0,12000.0,500,64.0,36.0
26,,,,,,,BN,100.0,,,,40.0,20.0,40.0,12000.0,500,16.0,88.0
27,,,,,,,BN,100.0,,,,40.0,20.0,40.0,12000.0,525,23.0,85.0
28,,,,,,,BN,100.0,,,,40.0,20.0,40.0,12000.0,500,2.0,93.0
29,,,,,,,BN,100.0,,,,40.0,20.0,40.0,12000.0,500,4.0,93.0
30,,,,,,,BN,100.0,,,,40.0,20.0,40.0,12000.0,500,7.0,92.0
31,,,,,,,BN,100.0,,,,40.0,20.0,40.0,12000.0,500,12.0,91.0
32,,,,,,,BN,100.0,,,,40.0,20.0,40.0,12000.0,500,23.0,84.0
33,,,,,,,BN,100.0,,,,1.0,50.0,49.0,12000.0,525,52.0,53.0
34,,,,,,,BN,100.0,,,,1.0,50.0,49.0,12000.0,525,80.0,15.0
35,,,,,,,BN,100.0,,,,1.0,50.0,49.0,12000.0,525,70.0,28.0
36,,,,,,,,,SiO2,100.0,,16.7,25.0,58.3,48000.0,500,1.5,88.0
37,,,,,,,BN,1.0,SiO2,99.0,,16.7,25.0,58.3,48000.0,500,4.0,90.0
38,,,,,,,BN,3.0,SiO2,97.0,,16.7,25.0,58.3,48000.0,500,6.0,91.0
39,,,,,,,BN,5.0,SiO2,95.0,,16.7,25.0,58.3,48000.0,500,8.0,91.0
40,,,,,,,BN,7.0,SiO2,93.0,,16.7,25.0,58.3,48000.0,500,12.0,85.0
41,,,,,,,BN,7.0,SiO2,93.0,,16.7,25.0,58.3,48000.0,500,13.9,85.0
42,,,,,,,BN,7.0,SiO2,93.0,,16.7,25.0,58.3,48000.0,500,13.0,84.0
43,,,,,,,B,28.0,C,72.0,,30.0,15.0,55.0,12000.0,500,2.5,88.0
44,,,,,,,BN,100.0,,,,30.0,15.0,55.0,12000.0,500,2.5,88.0
45,,,,,,,B,0.5,SiO2,99.5,,30.0,15.0,55.0,12000.0,500,2.5,78.0
46,,,,,,,B,28.0,C,72.0,,30.0,15.0,55.0,12000.0,500,5.0,87.0
47,,,,,,,BN,100.0,,,,30.0,15.0,55.0,12000.0,500,5.0,87.4
48,,,,,,,B,0.5,SiO2,99.5,,30.0,15.0,55.0,12000.0,500,5.0,76.5
49,,,,,,,BN,100.0,,,,23.0,15.0,62.0,3900.0,530,23.0,76.0
50,,,,,,,BN,100.0,,,,23.0,15.0,62.0,3900.0,530,26.0,72.5
51,,,,,,,BN,100.0,,,,23.0,15.0,62.0,3900.0,530,41.0,64.5
52,,,,,,,BN,100.0,,,,23.0,15.0,62.0,3900.0,530,42.0,64.0
53,Mg,9.0,1.31,,,,BN,91.0,,,22.5,7.5,10.0,60.0,36000.0,650,49.0,18.0
54,Mg,9.0,1.31,,,,BN,91.0,,,22.5,7.5,10.0,60.0,36000.0,625,20.0,28.0
55,Mg,9.0,1.31,,,,BN,91.0,,,22.5,7.5,10.0,60.0,24000.0,650,55.0,15.0
56,Mg,9.0,1.31,,,,BN,91.0,,,22.5,7.5,10.0,60.0,24000.0,625,37.0,23.0
57,,,,,,,BN,100.0,,,22.5,7.5,10.0,60.0,36000.0,650,7.0,31.0
58,,,,,,,BN,100.0,,,22.5,7.5,10.0,60.0,36000.0,625,2.0,35.0
59,,,,,,,BN,100.0,,,22.5,7.5,10.0,60.0,24000.0,650,15.0,31.0
60,,,,,,,BN,100.0,,,22.5,7.5,10.0,60.0,24000.0,625,4.0,35.0
61,,,,,,,BN,100.0,,,22.5,7.5,10.0,60.0,7000.0,500,21.0,60.0
62,,,,,,,BN,10.0,SiO2,90.0,22.5,7.5,10.0,60.0,7000.0,500,41.0,39.0
63,,,,,,,BN,10.0,SBA-15,90.0,22.5,7.5,10.0,60.0,7000.0,500,33.0,23.0
64,,,,,,,BN,8.5,BPO4,91.5,,30.0,15.0,55.0,24000.0,550,13.6,75.2
65,,,,,,,BN,100.0,,,,30.0,15.0,55.0,436364.0,550,9.3,75.3
66,,,,,,,BN,100.0,,,,30.0,15.0,55.0,240000.0,550,13.9,73.0
67,,,,,,,BPO4,100.0,,,,30.0,15.0,55.0,24000.0,550,1.6,82.1
68,,,,,,,BN,100.0,,,,2.44,2.44,95.12,18000.0,500,0.1,93.0
69,,,,,,,BN,100.0,,,,2.44,2.44,95.12,18000.0,520,1.0,73.0
70,,,,,,,BN,100.0,,,,2.44,2.44,95.12,18000.0,540,3.0,68.0
71,,,,,,,BN,100.0,,,,2.44,2.44,95.12,18000.0,560,8.0,60.0
72,,,,,,,BN,100.0,,,,2.44,2.44,95.12,18000.0,580,12.0,47.0
73,,,,,,,BN,100.0,,,,2.44,2.44,95.12,18000.0,600,34.0,30.0
74,,,,,,,BN,100.0,,,,2.44,2.44,95.12,18000.0,500,0.3,93.0
75,,,,,,,BN,100.0,,,,2.44,2.44,95.12,18000.0,600,38.2,38.0
76,,,,,,,BN,100.0,,,,2.44,2.44,95.12,18000.0,600,10.0,60.0
77,,,,,,,B,5.0,SiO2,95.0,,2.44,2.44,95.12,18000.0,500,3.0,68.0
78,,,,,,,B,5.0,SiO2,95.0,,2.44,2.44,95.12,18000.0,600,18.0,40.0
79,,,,,,,BN,100.0,,,,9.1,9.1,81.8,39600.0,520,2.9,83.5
80,,,,,,,BN,100.0,,,,9.1,9.1,81.8,39600.0,540,5.9,78.5
81,,,,,,,BN,100.0,,,,9.1,9.1,81.8,39600.0,560,11.3,71.8
82,,,,,,,BN,100.0,,,,16.7,25.1,58.2,115200.0,510,6.5,97.4
83,,,,,,,BN,100.0,,,,16.7,25.1,58.2,115200.0,520,11.8,89.3
84,,,,,,,BN,100.0,,,,16.7,25.1,58.2,115200.0,530,20.6,80.2
85,,,,,,,BN,100.0,,,,16.7,25.1,58.2,115200.0,540,38.2,59.8
86,,,,,,,B,100.0,,,,30.0,15.0,55.0,152727.0,500,16.4,77.9
87,,,,,,,B,100.0,,,,30.0,15.0,55.0,113677.0,500,12.5,80.6
88,,,,,,,B,100.0,,,,30.0,15.0,55.0,90248.0,500,9.8,83.0
89,,,,,,,B,100.0,,,,30.0,15.0,55.0,74628.0,500,6.7,85.4
90,,,,,,,B,100.0,,,,30.0,15.0,55.0,63347.0,500,5.6,86.2
91,,,,,,,B,100.0,,,,30.0,15.0,55.0,54669.0,500,4.2,86.6
92,,,,,,,CB,100.0,,,,30.0,15.0,55.0,18286.0,500,7.0,84.2
93,,,,,,,CB,100.0,,,,30.0,15.0,55.0,15176.0,500,5.5,84.8
94,,,,,,,CB,100.0,,,,30.0,15.0,55.0,13061.0,500,5.1,86.0
95,,,,,,,CB,100.0,,,,30.0,15.0,55.0,11780.0,500,4.4,86.0
96,,,,,,,CB,100.0,,,,30.0,15.0,55.0,10500.0,500,4.0,86.4
97,Ti,89.9,1.54,,,,B,10.1,,,,30.0,15.0,55.0,14933.0,500,5.2,85.3
98,Ti,89.9,1.54,,,,B,10.1,,,,30.0,15.0,55.0,12783.0,500,4.4,86.2
99,Ti,89.9,1.54,,,,B,10.1,,,,30.0,15.0,55.0,11229.0,500,4.0,86.2
100,Ti,89.9,1.54,,,,B,10.1,,,,30.0,15.0,55.0,10035.0,500,3.7,86.2
101,Ti,89.9,1.54,,,,B,10.1,,,,30.0,15.0,55.0,17920.0,500,5.8,85.4
102,Ni,84.4,1.91,,,,B,15.6,,,,30.0,15.0,55.0,13645.0,500,6.1,85.4
103,Ni,84.4,1.91,,,,B,15.6,,,,30.0,15.0,55.0,9766.0,500,4.8,86.1
104,Ni,84.4,1.91,,,,B,15.6,,,,30.0,15.0,55.0,8519.0,500,4.4,86.4
105,Ni,84.4,1.91,,,,B,15.6,,,,30.0,15.0,55.0,7549.0,500,4.0,86.4
106,,,,,,,BN,100.0,,,,30.0,15.0,55.0,19338.0,500,4.1,87.4
107,,,,,,,BN,100.0,,,,30.0,15.0,55.0,16972.0,500,3.6,88.5
108,,,,,,,BN,100.0,,,,30.0,15.0,55.0,15025.0,500,3.1,88.7
109,Hf,89.2,1.3,,,,B,10.8,,,,30.0,15.0,55.0,8871.0,500,4.2,87.5
110,Hf,89.2,1.3,,,,B,10.8,,,,30.0,15.0,55.0,7378.0,500,3.5,87.9
111,Hf,89.2,1.3,,,,B,10.8,,,,30.0,15.0,55.0,6324.0,500,2.9,88.2
112,Hf,89.2,1.3,,,,B,10.8,,,,30.0,15.0,55.0,5533.0,500,2.5,87.9
113,Hf,89.2,1.3,,,,B,10.8,,,,30.0,15.0,55.0,4919.0,500,2.2,87.9
114,W,94.4,2.36,,,,B,5.6,,,,30.0,15.0,55.0,10583.0,500,2.5,87.9
115,W,94.4,2.36,,,,B,5.6,,,,30.0,15.0,55.0,8833.0,500,2.1,88.3
116,W,94.4,2.36,,,,B,5.6,,,,30.0,15.0,55.0,7583.0,500,2.0,88.3
117,W,94.4,2.36,,,,B,5.6,,,,30.0,15.0,55.0,6625.0,500,1.8,88.3
118,W,94.4,2.36,,,,B,5.6,,,,30.0,15.0,55.0,5874.0,500,1.7,88.4
119,,,,,,,B2O3,49.4,BPO4,100.0,,30.0,15.0,55.0,8000.0,550,14.8,76.5
120,,,,,,,B2O3,38.1,BPO4,100.0,,30.0,15.0,55.0,8000.0,550,24.7,66.4
121,,,,,,,B2O3,29.8,BPO4,100.0,,30.0,15.0,55.0,8000.0,550,19.2,70.7
122,,,,,,,B2O3,31.6,BPO4,100.0,,30.0,15.0,55.0,8000.0,550,18.4,71.3
123,,,,,,,B2O3,40.0,SiO2,100.0,,30.0,15.0,55.0,8000.0,550,12.0,74.4
124,,,,,,,B2O3,40.0,Al2O3,100.0,,30.0,15.0,55.0,8000.0,550,30.5,55.8
125,,,,,,,,,,,,30.0,15.0,55.0,8000.0,550,0.9,75.0
126,,,,,,,BPO4,100.0,,,,16.7,25.0,58.3,28713.0,505,9.9,83.5
127,,,,,,,BPO4,100.0,,,,16.7,25.0,58.3,28713.0,515,14.3,87.1
128,,,,,,,BPO4,100.0,,,,16.7,25.0,58.3,28713.0,535,20.8,82.5
129,,,,,,,BPO4,100.0,,,,16.7,25.0,58.3,28713.0,550,15.3,79.8
130,,,,,,,BPO4,100.0,,,,16.7,25.0,58.3,28713.0,535,3.2,84.5
131,,,,,,,,,C,100.0,,15.0,5.0,80.0,46154.0,425,12.0,50.0
132,,,,,,,B,0.5,C,99.5,,15.0,5.0,80.0,46154.0,425,12.0,51.0
133,,,,,,,B,1.0,C,99.0,,15.0,5.0,80.0,46154.0,425,14.0,54.0
134,,,,,,,B,1.5,C,98.5,,15.0,5.0,80.0,46154.0,425,14.0,55.0
135,,,,,,,B,2.0,C,98.0,,15.0,5.0,80.0,46154.0,425,7.0,64.0
136,,,,,,,,,C,100.0,,15.0,5.0,80.0,46154.0,475,16.0,49.0
137,,,,,,,B,0.5,C,99.5,,15.0,5.0,80.0,46154.0,475,14.0,43.0
138,,,,,,,B,1.0,C,99.0,,15.0,5.0,80.0,46154.0,475,17.0,46.0
139,,,,,,,B,1.5,C,98.5,,15.0,5.0,80.0,46154.0,475,18.0,48.0
140,,,,,,,B,2.0,C,98.0,,15.0,5.0,80.0,46154.0,475,17.0,54.0
141,,,,,,,B,0.58,SiO2,99.42,,30.0,15.0,55.0,27428.688073394496,500,5.0,76.9
142,,,,,,,BN,100.0,,,,30.0,15.0,55.0,27428.688073394496,500,5.0,87.8
143,,,,,,,B,15.0,Si,85.0,,16.7,25.0,58.3,86138.0,450,5.2,67.1
144,,,,,,,B,25.0,Si,75.0,,16.7,25.0,58.3,86138.0,450,10.6,64.1
145,,,,,,,B,42.0,Si,58.0,,16.7,25.0,58.3,86138.0,450,5.0,75.6
146,,,,,,,B,21.7,SiO2,78.3,,16.7,25.0,58.3,86138.0,450,0.15,78.1
147,,,,,,,BN,100.0,,,,16.7,25.0,58.3,86138.0,450,0.7,83.6
148,,,,,,,BN,100.0,,,,16.7,25.0,58.3,86138.0,450,1.0,79.4
149,,,,,,,B2O3,32.8,SiO2,67.2,,9.1,9.1,81.8,19805.0,550,10.0,76.0
150,,,,,,,B2O3,0.65,SiO2,99.35,,10.0,5.0,85.0,4800.0,500,6.0,82.0
151,,,,,,,,,SBA-15,100.0,,16.7,25.0,58.3,28800.0,500,0.0,0.0
152,,,,,,,B2O3,0.1,SBA-15,99.9,,16.7,25.0,58.3,28800.0,500,1.9,84.9
153,,,,,,,B2O3,1.0,SBA-15,99.0,,16.7,25.0,58.3,28800.0,500,4.7,78.7
154,,,,,,,B2O3,5.0,SBA-15,95.0,,16.7,25.0,58.3,28800.0,500,12.8,77.6
155,,,,,,,B2O3,20.0,SBA-15,80.0,,16.7,25.0,58.3,28800.0,500,18.1,72.7
156,,,,,,,B2O3,30.0,SBA-15,70.0,,16.7,25.0,58.3,28800.0,500,8.0,81.6
157,,,,,,,B2O3,10.0,SBA-15,90.0,,16.7,25.0,58.3,28800.0,405,2.8,84.1
