epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,overall_best_prog_prefix,best_prog_of_epoch_free_const,overall_best_prog_free_const
0,0.05957926210664914,0.4188757129757396,0.5358535224674429,0.5358535224674429,14.0,21.5453,2.5136564412882616,2351,2318,(cos(1.0)*((-(Er)/-((1.0--(((1.0)**(0.5))))))+c00)),(cos(1.0)*((-(Er)/-((1.0--(((1.0)**(0.5))))))+c00)),[mul cos 1.0 add div neg Er neg sub 1.0 neg sqrt 1.0 c00],[mul cos 1.0 add div neg Er neg sub 1.0 neg sqrt 1.0 c00],[1.25401222 1.        ],[1.25401222 1.        ]
1,0.06357827847986065,0.4325942114499161,0.539565107820716,0.539565107820716,17.0,21.2458,2.830738719030942,2471,2430,(((Er+c00)*cos(((((M/(rou*(1.0+1.0))))**(2))+1.0)))/1.0),(((Er+c00)*cos(((((M/(rou*(1.0+1.0))))**(2))+1.0)))/1.0),[div mul add Er c00 cos add n2 div M mul rou add 1.0 1.0 1.0 1.0],[div mul add Er c00 cos add n2 div M mul rou add 1.0 1.0 1.0 1.0],[2.06776104 1.        ],[2.06776104 1.        ]
2,0.06859498797031752,0.44806263426362375,0.5428144237045702,0.5428144237045702,12.0,20.8449,2.19874031092716,2588,2555,((((((Er+c00))**(-1))/cos(-(((-(((1.0)**(0.5))))**(0.5))))))**(-1)),((((((Er+c00))**(-1))/cos(-(((-(((1.0)**(0.5))))**(0.5))))))**(-1)),[inv div inv add Er c00 cos neg sqrt neg sqrt 1.0],[inv div inv add Er c00 cos neg sqrt neg sqrt 1.0],[1.24401222 1.        ],[1.24401222 1.        ]
3,0.0755656488307647,0.46537016876639187,0.5428144237045702,0.5300809448057083,7.0,20.4559,1.9783155556088532,2799,2756,((Er*((sin(1.0))**(2)))+c00),((((((Er+c00))**(-1))/cos(-(((-(((1.0)**(0.5))))**(0.5))))))**(-1)),[add mul Er n2 sin 1.0 c00],[inv div inv add Er c00 cos neg sqrt neg sqrt 1.0],[0.66878725 1.        ],[1.24401222 1.        ]
4,0.08870744891889903,0.4942035731064859,0.5438875489223831,0.5438875489223831,17.0,19.7826,1.2073720520082543,3049,2989,((Er*((((1.0+((log(((1.0)**(2)))/1.0)+((1.0)**(0.5)))))**(0.5))-1.0))-c00),((Er*((((1.0+((log(((1.0)**(2)))/1.0)+((1.0)**(0.5)))))**(0.5))-1.0))-c00),[sub mul Er sub sqrt add 1.0 add div log n2 1.0 1.0 sqrt 1.0 1.0 c00],[sub mul Er sub sqrt add 1.0 add div log n2 1.0 1.0 sqrt 1.0 1.0 c00],[-0.67466445  1.        ],[-0.67466445  1.        ]
5,0.1059421587785761,0.5016789953937448,0.5438875489223831,0.5426152993624593,10.0,18.8673,-0.017398559299983747,3458,3378,-(((Er*sin((exp(1.0)+1.0)))+c00)),((Er*((((1.0+((log(((1.0)**(2)))/1.0)+((1.0)**(0.5)))))**(0.5))-1.0))-c00),[neg add mul Er sin add exp 1.0 1.0 c00],[sub mul Er sub sqrt add 1.0 add div log n2 1.0 1.0 sqrt 1.0 1.0 c00],[-0.67204369  1.        ],[-0.67466445  1.        ]
6,0.1258501738757313,0.5015398151303818,0.5461827622277646,0.5461827622277646,13.0,18.0054,-0.01610518925235418,3868,3775,((((((sin(log(((1.0)**(0.5))))*c00)+c00)+Er)*c00))**(0.5)),((((((sin(log(((1.0)**(0.5))))*c00)+c00)+Er)*c00))**(0.5)),[sqrt mul add add mul sin log sqrt 1.0 c00 c00 Er c00],[sqrt mul add add mul sin log sqrt 1.0 c00 c00 Er c00],[0.68812135 1.        ],[0.68812135 1.        ]
7,0.138274758839801,0.5014636352986769,0.5461827622277646,0.5453661652583907,11.0,17.4099,-0.021063768185800188,4109,4001,-((-(cos(1.0))*((-((((Er+c00))**(0.5))))**(2)))),((((((sin(log(((1.0)**(0.5))))*c00)+c00)+Er)*c00))**(0.5)),[neg mul neg cos 1.0 n2 neg sqrt add Er c00],[sqrt mul add add mul sin log sqrt 1.0 c00 c00 Er c00],[1.22265666 1.        ],[0.68812135 1.        ]
8,0.15504263297551432,0.5016874669737882,0.5461827622938643,0.5461827622938643,15.0,16.7726,-0.01673017107869036,4493,4373,(((1.0)**(-1))*((((-((((((((((c00)**(-1)))**(2)))**(-1))+(Er*c00)))**(-1))))**(-1)))**(0.5))),(((1.0)**(-1))*((((-((((((((((c00)**(-1)))**(2)))**(-1))+(Er*c00)))**(-1))))**(-1)))**(0.5))),[mul inv 1.0 sqrt inv neg inv add inv n2 inv c00 mul Er c00],[mul inv 1.0 sqrt inv neg inv add inv n2 inv c00 mul Er c00],[0.68812575 1.        ],[0.68812575 1.        ]
9,0.16641313289668136,0.5015457532887821,0.5461827622938643,0.5428035103066909,11.0,16.3971,-0.017383166498042397,4723,4618,((c00+Er)*((log(cos(((-(((1.0)**(2))))**(-1)))))**(2))),(((1.0)**(-1))*((((-((((((((((c00)**(-1)))**(2)))**(-1))+(Er*c00)))**(-1))))**(-1)))**(0.5))),[mul add c00 Er n2 log cos inv neg n2 1.0],[mul inv 1.0 sqrt inv neg inv add inv n2 inv c00 mul Er c00],[1.78199476 1.        ],[0.68812575 1.        ]
10,0.17298314738222603,0.5019699010215954,0.5461827622938643,0.5440001463730462,11.0,16.2256,-0.008389448028097702,4851,4730,(c00--((((-(((-(Er))**(-1)))+((Er)**(-1))))**(-1)))),(((1.0)**(-1))*((((-((((((((((c00)**(-1)))**(2)))**(-1))+(Er*c00)))**(-1))))**(-1)))**(0.5))),[sub c00 neg inv add neg inv neg Er inv Er],[mul inv 1.0 sqrt inv neg inv add inv n2 inv c00 mul Er c00],[0.67294872 1.        ],[0.68812575 1.        ]
11,0.1749115187645588,0.501834039668639,0.5461827622938643,0.5461827622938643,15.0,16.1709,-0.00818040644879691,4869,4737,((((((-((((((-(((((((c00)**(-1)))**(2)))**(-1)))-(c00*Er)))**(-1)))**(0.5))))**(2)))**(-1)))**(0.5)),(((1.0)**(-1))*((((-((((((((((c00)**(-1)))**(2)))**(-1))+(Er*c00)))**(-1))))**(-1)))**(0.5))),[sqrt inv n2 neg sqrt inv sub neg inv n2 inv c00 mul c00 Er],[mul inv 1.0 sqrt inv neg inv add inv n2 inv c00 mul Er c00],[0.68812575 1.        ],[0.68812575 1.        ]
12,0.17497495264232155,0.5014166389724897,0.5461827622938643,0.5461827622277646,6.0,16.1057,-0.02061900627079934,4865,4748,((((Er+c00)*c00))**(0.5)),(((1.0)**(-1))*((((-((((((((((c00)**(-1)))**(2)))**(-1))+(Er*c00)))**(-1))))**(-1)))**(0.5))),[sqrt mul add Er c00 c00],[mul inv 1.0 sqrt inv neg inv add inv n2 inv c00 mul Er c00],[0.68812135 1.        ],[0.68812575 1.        ]
13,0.17682674258402648,0.5015541068442043,0.5461827622938643,0.5428144237045703,6.0,16.0665,-0.016928600320689803,4881,4744,(cos(1.0)*(c00+Er)),(((1.0)**(-1))*((((-((((((((((c00)**(-1)))**(2)))**(-1))+(Er*c00)))**(-1))))**(-1)))**(0.5))),[mul cos 1.0 add c00 Er],[mul inv 1.0 sqrt inv neg inv add inv n2 inv c00 mul Er c00],[1.24401222 1.        ],[0.68812575 1.        ]
