iter	Passed	Remaining
0	0	253
1	0	220
2	1	214
3	1	208
4	2	211
5	2	199
6	3	202
7	3	202
8	4	208
9	4	209
10	5	209
11	5	208
12	6	208
13	6	209
14	7	206
15	7	211
16	8	213
17	8	215
18	9	215
19	10	215
20	10	214
21	11	214
22	11	214
23	12	214
24	12	213
25	13	213
26	13	213
27	14	212
28	14	213
29	15	213
30	15	213
31	16	213
32	16	212
33	17	213
34	18	214
35	18	214
36	19	214
37	19	213
38	20	213
39	20	213
40	21	215
41	22	217
42	23	217
43	23	217
44	24	217
45	24	216
46	25	216
47	25	215
48	26	215
49	26	215
50	27	214
51	27	213
52	28	213
53	29	212
54	29	212
55	30	211
56	30	211
57	31	212
58	32	214
59	33	214
60	33	215
61	34	215
62	34	214
63	35	214
64	36	215
65	36	215
66	37	215
67	38	215
68	38	214
69	39	214
70	40	213
71	40	213
72	41	212
73	41	211
74	42	210
75	42	210
76	43	209
77	43	208
78	44	208
79	44	207
80	45	207
81	46	206
82	46	206
83	47	205
84	47	204
85	48	204
86	48	203
87	49	203
88	49	202
89	50	201
90	51	201
91	51	201
92	52	201
93	53	200
94	53	200
95	54	199
96	54	198
97	55	198
98	55	197
99	56	196
100	56	195
101	56	194
102	57	193
103	58	193
104	58	192
105	59	191
106	59	190
107	59	189
108	60	189
109	60	188
110	61	187
111	62	187
112	62	186
113	63	186
114	63	185
115	64	184
116	64	184
117	65	183
118	66	183
119	66	183
120	67	182
121	67	182
122	68	181
123	68	181
124	69	180
125	69	179
126	70	179
127	71	178
128	71	178
129	72	177
130	72	177
131	73	176
132	73	176
133	74	175
134	74	174
135	75	174
136	76	173
137	76	173
138	77	172
139	77	172
140	78	171
141	78	170
142	79	170
143	79	169
144	80	169
145	81	169
146	81	168
147	82	167
148	82	167
149	83	166
150	83	165
151	84	165
152	84	164
153	85	163
154	85	163
155	86	163
156	87	162
157	87	161
158	88	161
159	88	160
160	89	160
161	89	159
162	90	159
163	90	158
164	91	157
165	91	157
166	92	156
167	93	156
168	93	155
169	94	155
170	94	154
171	95	154
172	96	153
173	96	153
174	97	152
175	97	151
176	98	151
177	98	150
178	99	150
179	99	149
180	100	149
181	101	148
182	101	148
183	102	147
184	102	147
185	103	146
186	104	146
187	104	145
188	105	145
189	105	144
190	106	144
191	106	143
192	107	143
193	108	142
194	108	142
195	109	142
196	110	141
197	111	141
198	111	140
199	112	140
200	112	139
201	113	139
202	114	138
203	114	138
204	115	137
205	116	137
206	116	136
207	117	136
208	117	135
209	118	135
210	118	134
211	119	134
212	120	133
213	120	133
214	121	132
215	121	132
216	122	131
217	123	131
218	124	131
219	124	130
220	125	130
221	126	129
222	127	129
223	127	129
224	128	128
225	129	128
226	130	127
227	131	127
228	133	128
229	134	128
230	134	127
231	135	127
232	136	127
233	137	126
234	138	126
235	140	127
236	141	127
237	142	126
238	142	126
239	143	125
240	144	125
241	145	124
242	145	124
243	146	123
244	147	123
245	147	122
246	148	121
247	149	121
248	150	121
249	151	121
250	152	120
251	153	120
252	154	120
253	155	120
254	156	119
255	156	118
256	157	118
257	158	117
258	158	117
259	159	116
260	159	115
261	160	115
262	161	114
263	162	114
264	162	113
265	163	113
266	164	112
267	164	111
268	165	111
269	166	110
270	166	110
271	167	109
272	168	109
273	169	108
274	170	108
275	171	107
276	171	107
277	172	106
278	173	106
279	173	105
280	174	104
281	175	104
282	175	103
283	176	103
284	177	102
285	177	101
286	178	101
287	179	100
288	179	100
289	180	99
290	181	98
291	181	98
292	182	97
293	183	97
294	183	96
295	184	96
296	185	95
297	186	94
298	186	94
299	187	93
300	188	93
301	189	92
302	189	92
303	190	91
304	190	90
305	191	90
306	192	89
307	192	88
308	193	88
309	193	87
310	194	86
311	195	86
312	195	85
313	196	85
314	197	84
315	197	83
316	198	83
317	199	82
318	200	82
319	200	81
320	201	80
321	202	80
322	202	79
323	203	79
324	204	78
325	204	77
326	205	77
327	206	76
328	206	76
329	207	75
330	208	74
331	208	74
332	209	73
333	210	72
334	210	72
335	211	71
336	212	71
337	213	70
338	214	70
339	215	69
340	215	68
341	216	68
342	217	67
343	218	67
344	218	66
345	219	65
346	220	65
347	220	64
348	221	64
349	221	63
350	222	62
351	223	62
352	223	61
353	224	60
354	225	60
355	225	59
356	226	58
357	227	58
358	228	57
359	228	57
360	229	56
361	230	55
362	230	55
363	231	54
364	231	53
365	232	53
366	233	52
367	233	51
368	233	51
369	234	50
370	235	50
371	235	49
372	236	48
373	237	48
374	237	47
375	238	46
376	238	46
377	239	45
378	239	44
379	240	44
380	241	43
381	241	43
382	242	42
383	243	41
384	244	41
385	244	40
386	245	39
387	246	39
388	246	38
389	247	38
390	247	37
391	248	36
392	248	36
393	249	35
394	250	34
395	250	34
396	251	33
397	251	32
398	252	32
399	253	31
400	253	31
401	254	30
402	254	29
403	255	29
404	256	28
405	256	27
406	257	27
407	257	26
408	258	25
409	259	25
410	259	24
411	260	23
412	260	23
413	261	22
414	261	22
415	262	21
416	263	20
417	263	20
418	263	19
419	264	18
420	265	18
421	265	17
422	266	16
423	266	16
424	267	15
425	267	15
426	268	14
427	269	13
428	269	13
429	270	12
430	270	11
431	271	11
432	272	10
433	272	10
434	273	9
435	273	8
436	274	8
437	274	7
438	275	6
439	275	6
440	276	5
441	277	5
442	278	4
443	278	3
444	279	3
445	279	2
446	280	1
447	280	1
448	281	0
449	282	0
