iter	RMSE
0	20.56137151
1	19.79126782
2	19.05033779
3	18.50387802
4	17.87410943
5	17.28274842
6	16.82959786
7	16.25738674
8	15.92347605
9	15.40217687
10	14.96608329
11	14.55959722
12	14.25799963
13	14.08951452
14	13.74484346
15	13.4595684
16	13.1859641
17	12.80487902
18	12.53009102
19	12.27338721
20	12.03711977
21	11.82644742
22	11.57044043
23	11.39694203
24	11.12387366
25	10.96214264
26	10.77523755
27	10.53361973
28	10.38007955
29	10.2502801
30	10.07193216
31	9.927788825
32	9.775620389
33	9.630712015
34	9.602724276
35	9.517685161
36	9.428480443
37	9.277139907
38	9.09754487
39	9.004165869
40	8.896033688
41	8.804638471
42	8.666257207
43	8.534853828
44	8.414004221
45	8.268985824
46	8.166685314
47	8.045317897
48	7.976001497
49	7.892913088
50	7.832109208
51	7.746754897
52	7.67187577
53	7.603412653
54	7.515754773
55	7.439528429
56	7.371783115
57	7.296809665
58	7.1987847
59	7.12332225
60	7.077851359
61	7.017172805
62	6.954671572
63	6.849719571
64	6.774645781
65	6.738337732
66	6.668205393
67	6.639071115
68	6.58207539
69	6.514154162
70	6.451905419
71	6.382145593
72	6.355205001
73	6.312449891
74	6.26247619
75	6.160629309
76	6.109201322
77	6.060777459
78	6.047948029
79	6.023393222
80	6.005633253
81	5.934181755
82	5.876440955
83	5.851804738
84	5.802487581
85	5.704251516
86	5.682811235
87	5.592296569
88	5.518250453
89	5.500831694
90	5.469237824
91	5.453715373
92	5.43952283
93	5.424336182
94	5.35441434
95	5.32599716
96	5.313298683
97	5.25207179
98	5.208538332
99	5.119925702
100	5.105194075
101	5.091046671
102	5.012937513
103	4.930502883
104	4.868895829
105	4.821257235
106	4.812020344
107	4.800392433
108	4.758590507
109	4.721114505
110	4.711659433
111	4.661591488
112	4.624071297
113	4.571068366
114	4.536793519
115	4.483983382
116	4.424771253
117	4.363785364
118	4.355640454
119	4.32843966
120	4.285381271
121	4.266953171
122	4.223799524
123	4.21510998
124	4.178602542
125	4.114793572
126	4.105539052
127	4.097944571
128	4.091177216
129	4.08314495
130	4.054541247
131	4.004179639
132	3.946480041
133	3.921152898
134	3.914505906
135	3.896756011
136	3.867266194
137	3.839268924
138	3.833410035
139	3.775208488
140	3.750388784
141	3.739832812
142	3.705846678
143	3.671855836
144	3.637837735
145	3.632607795
146	3.627779425
147	3.591814091
148	3.558849066
149	3.54824299
150	3.542129185
151	3.496197928
152	3.467505018
153	3.442203885
154	3.402859966
155	3.379523109
156	3.37378498
157	3.340549631
158	3.330007531
159	3.296211557
160	3.279183357
161	3.246050742
162	3.209234853
163	3.174216652
164	3.17010784
165	3.16612857
166	3.127331836
167	3.09732659
168	3.066347413
169	3.029902009
170	3.026179123
171	2.991749588
172	2.988305863
173	2.975301776
174	2.950526296
175	2.923827276
176	2.920283749
177	2.883419056
178	2.869343269
179	2.851022749
180	2.848052259
181	2.832604024
182	2.829830965
183	2.818999568
184	2.816208874
185	2.807402753
186	2.784975264
187	2.751226734
188	2.747217806
189	2.744507421
190	2.726006849
191	2.72243368
192	2.70709628
193	2.685299377
194	2.673471032
195	2.655632489
196	2.64704746
197	2.641066849
198	2.62502959
199	2.597451279
200	2.580901287
201	2.574616871
202	2.571822313
203	2.569573735
204	2.563068042
205	2.551656737
206	2.54747568
207	2.545340499
208	2.52480057
209	2.507708555
210	2.485089635
211	2.470158681
212	2.468225091
213	2.445430225
214	2.43311382
215	2.420617509
216	2.406915858
217	2.405203613
218	2.390157341
219	2.372414504
220	2.363852296
221	2.356064056
222	2.347985758
223	2.328190847
224	2.320963231
225	2.297485925
226	2.285887561
227	2.280811275
228	2.260138619
229	2.251767458
230	2.242701205
231	2.226687538
232	2.21592039
233	2.214441452
234	2.208708428
235	2.186097417
236	2.17024206
237	2.159156149
238	2.137617945
239	2.11852158
240	2.111078114
241	2.108992301
242	2.092845881
243	2.083387026
244	2.081765762
245	2.067809477
246	2.057299053
247	2.051504375
248	2.048232013
249	2.039790811
250	2.024101775
251	2.003162671
252	1.993889771
253	1.980779257
254	1.965408394
255	1.954832083
256	1.942233501
257	1.935506978
258	1.923986367
259	1.91393544
260	1.903244802
261	1.889467494
262	1.883550117
263	1.869719203
264	1.856450327
265	1.845490673
266	1.835183531
267	1.826962448
268	1.819944595
269	1.816654428
270	1.807548181
271	1.804942615
272	1.789898989
273	1.782743243
274	1.776168536
275	1.766074278
276	1.753326276
277	1.746854337
278	1.734428263
279	1.732396686
280	1.72677179
281	1.709845888
282	1.70439751
283	1.700316876
284	1.694922272
285	1.687016689
286	1.676830754
287	1.668356895
288	1.66299383
289	1.653931301
290	1.641362488
291	1.631843335
292	1.627052951
293	1.612801726
294	1.606576853
295	1.604098088
296	1.597306619
297	1.584059442
298	1.58135761
299	1.57999646
300	1.569699977
301	1.56121911
302	1.55409646
303	1.54731556
304	1.546139176
305	1.531726222
306	1.526367437
307	1.520203473
308	1.509386302
309	1.498105414
310	1.495561788
311	1.484960954
312	1.475092826
313	1.464277911
314	1.453265545
315	1.45212899
316	1.446404104
317	1.43941593
318	1.429513404
319	1.418854888
320	1.409935722
321	1.405817086
322	1.404434912
323	1.397324255
324	1.393087635
325	1.39039537
326	1.382551088
327	1.377461484
328	1.373275381
329	1.364692908
330	1.355535562
331	1.352987767
332	1.351186579
333	1.346088019
334	1.335032406
335	1.331216024
336	1.329466068
337	1.324482205
338	1.3201213
339	1.316216088
340	1.309396397
341	1.303643967
342	1.302276851
343	1.295100571
344	1.287150439
345	1.285587028
346	1.281811936
347	1.276698652
348	1.273194197
349	1.267704122
350	1.262777712
351	1.258640812
352	1.250548165
353	1.246874621
354	1.245583557
355	1.241292123
356	1.236858603
357	1.230987273
358	1.221893016
359	1.220893082
360	1.218712761
361	1.211695723
362	1.206692787
363	1.201494329
364	1.191654146
365	1.186503989
366	1.176831755
367	1.168185492
368	1.166011068
369	1.162055251
370	1.16106705
371	1.156157349
372	1.154678119
373	1.146843886
374	1.144800545
375	1.142213514
376	1.133791979
377	1.127854965
378	1.12258558
379	1.118689412
380	1.116089677
381	1.114595385
382	1.112365861
383	1.10824785
384	1.106895816
385	1.101890203
386	1.098122979
387	1.094813204
388	1.092402844
389	1.086791092
390	1.081567541
391	1.078671243
392	1.075505387
393	1.069628825
394	1.062940146
395	1.061697525
396	1.058146389
397	1.051909936
398	1.046935208
399	1.042159995
400	1.038923779
401	1.032680069
402	1.026014074
403	1.021964263
404	1.019162263
405	1.014134142
406	1.009945637
407	1.007464087
408	1.001192239
409	0.9990829953
410	0.9981104862
411	0.9969694753
412	0.9939842861
413	0.991891535
414	0.9910271841
415	0.9847067566
416	0.9799641961
417	0.9771382591
418	0.9753407722
419	0.9724934761
420	0.9692773603
421	0.9648052468
422	0.9636129423
423	0.9628952583
424	0.9590790294
425	0.9515957382
426	0.9507376705
427	0.947723316
428	0.9446156029
429	0.9433267858
430	0.9426180024
431	0.9372622644
432	0.9364994303
433	0.9344155245
434	0.9337335602
435	0.931292952
436	0.9306637211
437	0.9251757907
438	0.9219136387
439	0.9183873655
440	0.9162600203
441	0.9122875761
442	0.9101506957
443	0.9065450225
444	0.9052000069
445	0.899439874
446	0.8987795546
447	0.891423487
448	0.887317365
449	0.8857758357
450	0.8835141404
451	0.8795753145
452	0.8787439902
453	0.8779241504
454	0.8750347162
455	0.8712604706
456	0.8704718416
457	0.8691689749
458	0.8685456303
459	0.8663159053
460	0.8589781948
461	0.8555869949
462	0.8518006153
463	0.8510245796
464	0.8490059477
465	0.848292331
466	0.8454028842
467	0.8402285537
468	0.837588253
469	0.8356502247
470	0.8314007042
471	0.8302444547
472	0.8243787213
473	0.8174041021
474	0.8155946295
475	0.8106937992
476	0.8053681366
477	0.8044758719
478	0.8037378318
479	0.8022985928
480	0.7984792319
481	0.7976010674
482	0.7932084562
483	0.7885231869
484	0.7863747932
485	0.7847419418
486	0.7831485641
487	0.7820775547
488	0.7780518015
489	0.7773430043
490	0.7756601751
491	0.7752462907
492	0.7709316551
493	0.7704988993
494	0.768490382
495	0.7660172211
496	0.7619267566
497	0.7599472847
498	0.7549229291
499	0.7517130856
