iter	Passed	Remaining
0	12	6389
1	23	5945
2	34	5757
3	45	5684
4	56	5603
5	66	5510
6	77	5468
7	89	5483
8	100	5485
9	110	5428
10	120	5367
11	131	5344
12	141	5286
13	152	5281
14	162	5257
15	173	5234
16	183	5201
17	194	5198
18	205	5195
19	214	5159
20	225	5152
21	236	5130
22	246	5110
23	256	5096
24	267	5083
25	278	5074
26	288	5060
27	299	5052
28	309	5028
29	321	5029
30	331	5015
31	342	5002
32	352	4984
33	362	4964
34	373	4960
35	383	4946
36	395	4946
37	405	4930
38	416	4917
39	427	4911
40	437	4898
41	448	4886
42	454	4835
43	465	4819
44	477	4825
45	490	4843
46	501	4836
47	511	4818
48	523	4815
49	533	4798
50	543	4784
51	555	4784
52	565	4770
53	576	4760
54	587	4754
55	588	4668
56	600	4664
57	610	4655
58	621	4641
59	630	4627
60	641	4617
61	651	4602
62	661	4588
63	671	4573
64	680	4555
65	691	4546
66	701	4533
67	710	4513
68	720	4499
69	729	4480
70	739	4471
71	749	4455
72	758	4435
73	768	4426
74	779	4414
75	789	4401
76	799	4390
77	808	4375
78	818	4363
79	828	4348
80	838	4335
81	847	4320
82	856	4303
83	865	4288
84	875	4272
85	885	4264
86	894	4248
87	905	4237
88	914	4222
89	923	4208
90	934	4199
91	943	4186
92	954	4175
93	962	4159
94	972	4147
95	983	4138
96	992	4123
97	1001	4109
98	1011	4098
99	1021	4084
100	1030	4072
101	1039	4056
102	1049	4044
103	1059	4033
104	1068	4020
105	1077	4006
106	1087	3994
107	1096	3979
108	1106	3968
109	1115	3956
110	1124	3940
111	1133	3927
112	1142	3911
113	1151	3899
114	1160	3885
115	1169	3870
116	1178	3856
117	1186	3840
118	1195	3827
119	1204	3814
120	1215	3807
121	1224	3793
122	1233	3781
123	1243	3770
124	1252	3756
125	1261	3743
126	1270	3730
127	1279	3718
128	1288	3705
129	1297	3691
130	1305	3678
131	1315	3666
132	1324	3655
133	1333	3642
134	1342	3629
135	1351	3617
136	1360	3604
137	1368	3590
138	1378	3580
139	1387	3567
140	1396	3556
141	1405	3542
142	1415	3533
143	1424	3520
144	1433	3509
145	1442	3497
146	1451	3484
147	1461	3475
148	1470	3464
149	1481	3456
150	1490	3444
151	1499	3432
152	1508	3422
153	1517	3409
154	1526	3397
155	1535	3385
156	1545	3375
157	1554	3364
158	1563	3352
159	1572	3341
160	1581	3330
161	1590	3318
162	1599	3306
163	1608	3296
164	1617	3284
165	1626	3272
166	1635	3261
167	1645	3250
168	1653	3238
169	1663	3228
170	1671	3216
171	1680	3204
172	1689	3192
173	1697	3181
174	1706	3169
175	1715	3157
176	1724	3147
177	1733	3135
178	1742	3125
179	1752	3115
180	1761	3104
181	1770	3094
182	1779	3083
183	1788	3072
184	1797	3061
185	1806	3049
186	1815	3038
