,Na,V,Li,K,Mo,MCM,ZrO2,SBA-15,MCF,SBA-16,MgO,MCM-41,CeO2,Nb2O5,Al2O3,HMS,SiO2,TiO2,C2H6,C3H8,O2,保护气体,形态,GHSV,温度,Con,Sel
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,28.6,14.3,57.1,2,3600.0,400,3.0,80.0
1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,28.6,14.3,57.1,2,3600.0,400,12.3,55.0
2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,28.6,14.3,57.1,2,3600.0,400,1.8,77.0
3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,28.6,14.3,57.1,2,3600.0,400,7.0,48.0
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,14.3,57.1,2,3600.0,400,1.8,69.0
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,14.3,57.1,2,3600.0,400,7.0,41.0
6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,28.6,14.3,57.1,2,3600.0,400,0.6,74.5
7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,28.6,14.3,57.1,2,3600.0,400,2.2,54.0
8,0.0,1.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,14.3,57.1,2,3600.0,400,1.9,40.0
9,0.0,1.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,14.3,57.1,2,3600.0,400,7.5,26.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,80.0,1,22828.986301369863,600,2.7,31.8
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.0,10.0,80.0,1,22828.986301369863,600,10.6,38.0
12,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.818,0.0,0.0,10.0,10.0,80.0,3,22828.986301369863,600,25.0,48.8
13,0.0,0.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.072,0.0,0.0,10.0,10.0,80.0,3,22828.986301369863,600,42.2,51.0
14,0.0,1.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.252,0.0,0.0,10.0,10.0,80.0,3,22828.986301369863,600,49.7,52.3
15,0.0,2.951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.049,0.0,0.0,10.0,10.0,80.0,3,22828.986301369863,600,50.8,54.7
16,0.0,3.279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.721,0.0,0.0,10.0,10.0,80.0,3,22828.986301369863,600,55.0,64.7
17,0.0,3.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.485,0.0,0.0,10.0,10.0,80.0,3,22828.986301369863,600,47.6,59.8
